Date : 2021-01-16 21:02:29
Directory : /Users/simonwachtler/digitales-register
Total : 231 files,  14532 codes, 856 comments, 1547 blanks, all 16935 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |        118 |     11,788 |        295 |      1,179 |     13,262 |
| XML        |         37 |        998 |        142 |         34 |      1,174 |
| JSON       |         12 |        636 |          0 |         10 |        646 |
| YAML       |          9 |        293 |        329 |         70 |        692 |
| Groovy     |         10 |        269 |          6 |         64 |        339 |
| Markdown   |         12 |        199 |          0 |         79 |        278 |
| C++        |         13 |        199 |         50 |         75 |        324 |
| Swift      |          6 |         70 |          3 |         16 |         89 |
| HTML       |          2 |         51 |         20 |          9 |         80 |
| Properties |         12 |         29 |         11 |         11 |         51 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                  |        231 |     14,532 |        856 |      1,547 |     16,935 |
| .gradle                                                                                                                                            |          4 |          1 |          1 |          4 |          6 |
| .gradle/4.10.3                                                                                                                                     |          1 |          0 |          0 |          1 |          1 |
| .gradle/5.2.1                                                                                                                                      |          1 |          0 |          0 |          1 |          1 |
| .gradle/buildOutputCleanup                                                                                                                         |          1 |          1 |          1 |          1 |          3 |
| .gradle/vcs-1                                                                                                                                      |          1 |          0 |          0 |          1 |          1 |
| android                                                                                                                                            |         16 |        198 |         50 |         38 |        286 |
| android/app                                                                                                                                        |         11 |        154 |         49 |         26 |        229 |
| android/app/src                                                                                                                                    |         10 |         86 |         49 |         13 |        148 |
| android/app/src/debug                                                                                                                              |          1 |          4 |          3 |          1 |          8 |
| android/app/src/main                                                                                                                               |          8 |         78 |         43 |         11 |        132 |
| android/app/src/main/res                                                                                                                           |          7 |         38 |         32 |          9 |         79 |
| android/app/src/main/res/drawable                                                                                                                  |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/drawable-night                                                                                                            |          1 |          4 |          0 |          3 |          7 |
| android/app/src/main/res/drawable-v21                                                                                                              |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/values                                                                                                                    |          2 |         13 |          9 |          1 |         23 |
| android/app/src/main/res/values-night                                                                                                              |          2 |         13 |          9 |          1 |         23 |
| android/app/src/profile                                                                                                                            |          1 |          4 |          3 |          1 |          8 |
| android/gradle                                                                                                                                     |          1 |          5 |          1 |          1 |          7 |
| android/gradle/wrapper                                                                                                                             |          1 |          5 |          1 |          1 |          7 |
| ios                                                                                                                                                |         12 |        448 |          2 |          9 |        459 |
| ios/.symlinks                                                                                                                                      |          4 |        133 |          0 |          0 |        133 |
| ios/.symlinks/plugins                                                                                                                              |          4 |        133 |          0 |          0 |        133 |
| ios/.symlinks/plugins/biometric_storage                                                                                                            |          4 |        133 |          0 |          0 |        133 |
| ios/.symlinks/plugins/biometric_storage/.idea                                                                                                      |          4 |        133 |          0 |          0 |        133 |
| ios/.symlinks/plugins/biometric_storage/.idea/codeStyles                                                                                           |          2 |        121 |          0 |          0 |        121 |
| ios/.symlinks/plugins/biometric_storage/.idea/runConfigurations                                                                                    |          1 |          6 |          0 |          0 |          6 |
| ios/Runner                                                                                                                                         |          8 |        315 |          2 |          9 |        326 |
| ios/Runner/Assets.xcassets                                                                                                                         |          4 |        233 |          0 |          5 |        238 |
| ios/Runner/Assets.xcassets/AppIcon.appiconset                                                                                                      |          1 |        122 |          0 |          1 |        123 |
| ios/Runner/Assets.xcassets/LaunchBackground.imageset                                                                                               |          1 |         52 |          0 |          1 |         53 |
